No. overall,Title,Directed by,Written by,Original air date,Prod.,U.S. viewers,season
70,"""The One with the Screamer""",Peter Bonerz,Shana Goldberg-Meehan & Scott Silveri,"April 24, 1997",465272,22.63[113],3
71,"""The One with Ross's Thing""",Shelley Jensen,Ted Cohen & Andrew Reich,"May 1, 1997",465274,24.17[115],3
72,"""The One with the Ultimate Fighting Champion""",Robby Benson,Story by : Pang-Ni Landrum & Mark Kunerth Teleplay by : Shana Goldberg-Meehan & Scott Silveri,"May 8, 1997",465273,23.07[117],3
73,"""The One at the Beach""",Pamela Fryman,Story by : Pang-Ni Landrum & Mark Kunerth Teleplay by : Adam Chase,"May 15, 1997",465275,23.39[119],3
74,"""The One with the Jellyfish""",Shelley Jensen,Wil Calhoun,"September 25, 1997",466601,29.43[120],4
75,"""The One with the Cat""",Shelley Jensen,Jill Condon & Amy Toomin,"October 2, 1997",466602,25.54[122],4
76,"""The One with the Cuffs""",Peter Bonerz,Seth Kurland,"October 9, 1997",466603,23.98[124],4
77,"""The One with the Ballroom Dancing""",Gail Mancuso,Ted Cohen & Andrew Reich,"October 16, 1997",466604,24.31[126],4
78,"""The One with Joey's New Girlfriend""",Gail Mancuso,Gregory S. Malins & Michael Curtis,"October 30, 1997",466605,24.35[128],4
79,"""The One with the Dirty Girl""",Shelley Jensen,Shana Goldberg-Meehan & Scott Silveri,"November 6, 1997",466606,25.68[130],4
80,"""The One Where Chandler Crosses the Line""",Kevin S. Bright,Adam Chase,"November 13, 1997",466607,26.35[132],4
81,"""The One with Chandler in a Box""",Peter Bonerz,Michael Borkow,"November 20, 1997",466608,26.76[134],4
82,"""The One Where They're Going to Party!""",Peter Bonerz,Ted Cohen & Andrew Reich,"December 11, 1997",466609,23.89[136],4
83,"""The One with the Girl from Poughkeepsie""",Gary Halvorson,Scott Silveri,"December 18, 1997",466612,23.22[137],4
84,"""The One with Phoebe's Uterus""",David Steinberg,Seth Kurland,"January 8, 1998",466610,23.66[138],4
85,"""The One with the Embryos""",Kevin S. Bright,Jill Condon & Amy Toomin,"January 15, 1998",466611,27.14[139],4
86,"""The One with Rachel's Crush""",Dana DeVally Piazza,Shana Goldberg-Meehan,"January 29, 1998",466613,25.27[140],4
87,"""The One with Joey's Dirty Day""",Peter Bonerz,Wil Calhoun,"February 5, 1998",466614,25.08[142],4
88,"""The One with All the Rugby""",James Burrows,Story by : Ted Cohen & Andrew Reich,"February 26, 1998",466617,24.44[144],4
89,"""The One with the Fake Party""",Michael Lembeck,Story by : Alicia Sky Varinaitis,"March 19, 1998",466615,23.13[146],4
90,"""The One with the Free Porn""",Michael Lembeck,Story by : Mark Kunerth,"March 26, 1998",466616,23.22[148],4
91,"""The One with Rachel's New Dress""",Gail Mancuso,Story by : Andrew Reich & Ted Cohen,"April 2, 1998",466620,21.72[150],4
92,"""The One with All the Haste""",Kevin S. Bright,Scott Silveri & Wil Calhoun,"April 9, 1998",466618,21.76[152],4
93,"""The One with All the Wedding Dresses""",Gail Mancuso,Story by : Adam Chase,"April 16, 1998",466621,21.94[154],4
94,"""The One with the Invitation""",Peter Bonerz,Seth Kurland,"April 23, 1998",466619,21.51[156],4
95,"""The One with the Worst Best Man Ever""",Peter Bonerz,Story by : Seth Kurland,"April 30, 1998",466622,23.15[158],4
96,"""The One with Ross's Wedding""",Kevin S. Bright,Michael Borkow,"May 7, 1998[b]",466623,31.61[160],4
97,"""The One with Ross's Wedding""",Kevin S. Bright,Story by : Jill Condon & Amy Toomin,"May 7, 1998[b]",466623,31.61[160],4
98,"""The One After Ross Says Rachel""",Kevin S. Bright,Seth Kurland,"September 24, 1998",467651,31.12[162],5
99,"""The One with All the Kissing""",Gary Halvorson,Wil Calhoun,"October 1, 1998",467652,25.36[164],5
100,"""The One Hundredth"" ""The One with the Triplets"" ",Kevin S. Bright,David Crane & Marta Kauffman,"October 8, 1998",467653,26.82[166],5
101,"""The One Where Phoebe Hates PBS""",Shelley Jensen,Michael Curtis,"October 15, 1998",467654,24.09[167],5
102,"""The One with the Kips""",Dana DeVally Piazza,Scott Silveri,"October 29, 1998",467655,25.87[169],5
103,"""The One with the Yeti""",Gary Halvorson,Alexa Junge,"November 5, 1998",467656,24.99[171],5
104,"""The One Where Ross Moves In""",Gary Halvorson,Gigi McCreery & Perry Rein,"November 12, 1998",467657,24.44[173],5
105,"""The One with All the Thanksgivings""",Kevin S. Bright,Gregory S. Malins,"November 19, 1998",467659,23.92[175],5
106,"""The One with Ross's Sandwich""",Gary Halvorson,Ted Cohen & Andrew Reich,"December 10, 1998",467658,23.03[177],5
107,"""The One with the Inappropriate Sister""",Dana DeVally Piazza,Shana Goldberg-Meehan,"December 17, 1998",467661,23.67[179],5
108,"""The One with All the Resolutions""",Joe Regalbuto,Story by : Brian Boyle,"January 7, 1999",467660,27.02[181],5
109,"""The One with Chandler's Work Laugh""",Kevin S. Bright,Alicia Sky Varinaitis,"January 21, 1999",467663,24.82[183],5
110,"""The One with Joey's Bag""",Gail Mancuso,Story by : Michael Curtis,"February 4, 1999",467662,24.92[185],5
111,"""The One Where Everybody Finds Out""",Michael Lembeck,Alexa Junge,"February 11, 1999",467664,27.70[187],5
112,"""The One with the Girl Who Hits Joey""",Kevin S. Bright,Adam Chase,"February 18, 1999",467665,29.31[189],5
113,"""The One with the Cop""",Andrew Tsao,Story by : Alicia Sky Varinaitis,"February 25, 1999",467666,26.02[191],5
114,"""The One with Rachel's Inadvertent Kiss""",Shelley Jensen,Andrew Reich & Ted Cohen,"March 18, 1999",467667,24.48[193],5
115,"""The One Where Rachel Smokes""",Todd Holland,Michael Curtis,"April 8, 1999",467668,21.88[195],5
116,"""The One Where Ross Can't Flirt""",Gail Mancuso,Doty Abrams,"April 22, 1999",467669,20.85[197],5
117,"""The One with the Ride-Along""",Gary Halvorson,Shana Goldberg-Meehan & Seth Kurland,"April 29, 1999",467670,19.63[199],5
118,"""The One with the Ball""",Gary Halvorson,Story by : Scott Silveri,"May 6, 1999",467671,20.92[201],5
119,"""The One with Joey's Big Break""",Gary Halvorson,Story by : Shana Goldberg-Meehan,"May 13, 1999",467672,21.28[203],5
120,"""The One in Vegas""",Kevin S. Bright,Ted Cohen & Andrew Reich,"May 20, 1999[b]",467673,25.90[205],5
121,"""The One in Vegas""",Kevin S. Bright,Gregory S. Malins & Scott Silveri,"May 20, 1999[b]",467674,25.90[205],5
122,"""The One After Vegas""",Kevin S. Bright,Adam Chase,"September 23, 1999",225551,27.74[207],6
123,"""The One Where Ross Hugs Rachel""",Gail Mancuso,Shana Goldberg-Meehan,"September 30, 1999",225552,22.95[209],6
124,"""The One with Ross's Denial""",Gary Halvorson,Seth Kurland,"October 7, 1999",225553,21.60[211],6
125,"""The One Where Joey Loses His Insurance""",Gary Halvorson,Andrew Reich & Ted Cohen,"October 14, 1999",225554,21.07[213],6
126,"""The One with Joey's Porsche""",Gary Halvorson,Perry Rein & Gigi McCreery,"October 21, 1999",225555,22.39[215],6
127,"""The One on the Last Night""",David Schwimmer,Scott Silveri,"November 4, 1999",225556,23.59[217],6
128,"""The One Where Phoebe Runs""",Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,"November 11, 1999",225557,22.75[219],6
129,"""The One with Ross's Teeth""",Gary Halvorson,Story by : Andrew Reich & Ted Cohen,"November 18, 1999",225558,22.14[221],6
130,"""The One Where Ross Got High""",Kevin S. Bright,Gregory S. Malins,"November 25, 1999",225559,19.17[223],6
131,"""The One with the Routine""",Kevin S. Bright,Brian Boyle,"December 16, 1999",225561,22.43[225],6
132,"""The One with the Apothecary Table""",Kevin S. Bright,Story by : Zachary Rosenblatt,"January 6, 2000",225560,22.26[227],6
133,"""The One with the Joke""",Gary Halvorson,Story by : Shana Goldberg-Meehan,"January 13, 2000",225562,22.33[229],6
134,"""The One with Rachel's Sister""",Gary Halvorson,Story by : Seth Kurland,"February 3, 2000",225563,24.14[231],6
135,"""The One Where Chandler Can't Cry""",Kevin S. Bright,Andrew Reich & Ted Cohen,"February 10, 2000",225564,23.82[233],6
136,"""The One That Could Have Been""",Michael Lembeck,Gregory S. Malins & Adam Chase,"February 17, 2000[b]",225565,25.89[235],6
137,"""The One That Could Have Been""",Michael Lembeck,David Crane & Marta Kauffman,"February 17, 2000[b]",225566,25.89[235],6
138,"""The One with Unagi""",Gary Halvorson,Story by : Zachary Rosenblatt,"February 24, 2000",225568,22.21[237],6
139,"""The One Where Ross Dates a Student""",Gary Halvorson,Seth Kurland,"March 9, 2000",225567,20.52[239],6
140,"""The One with Joey's Fridge""",Ben Weiss,Story by : Seth Kurland,"March 23, 2000",225569,21.46[241],6
141,"""The One with Mac and C.H.E.E.S.E.""",Kevin S. Bright,Doty Abrams,"April 13, 2000",225575,18.81[243],6
142,"""The One Where Ross Meets Elizabeth's Dad""",Michael Lembeck,Story by : David J. Lagana,"April 27, 2000",225570,20.63[245],6
143,"""The One Where Paul's the Man""",Gary Halvorson,Story by : Brian Caldirola,"May 4, 2000",225571,20.01[247],6
144,"""The One with the Ring""",Gary Halvorson,Ted Cohen & Andrew Reich,"May 11, 2000",225572,20.87[249],6
145,"""The One with the Proposal""",Kevin S. Bright,Shana Goldberg-Meehan & Scott Silveri,"May 18, 2000[b]",225573,30.73[251],6
146,"""The One with the Proposal""",Kevin S. Bright,Andrew Reich & Ted Cohen,"May 18, 2000[b]",225574,30.73[251],6
147,"""The One with Monica's Thunder""",Kevin S. Bright,Story by : Wil Calhoun,"October 12, 2000",226401,25.54[253],7
148,"""The One with Rachel's Book""",Michael Lembeck,Andrew Reich & Ted Cohen,"October 12, 2000",226402,27.93[253],7
149,"""The One with Phoebe's Cookies""",Gary Halvorson,Sherry Bilsing & Ellen Plummer,"October 19, 2000",226405,22.72[255],7
